City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Praia,CV,14.9215,-23.5087,82.94,74,40,9.22,scattered clouds
320,Makokou,GA,0.5738,12.8642,69.51,89,14,2.13,few clouds
321,Port Macquarie,AU,-31.4333,152.9167,49.96,68,100,3.49,overcast clouds
322,Adrar,MR,20.5022,-10.0711,93.51,14,10,11.45,clear sky
323,Bilma,NE,18.6853,12.9164,97.56,25,54,6.15,broken clouds
324,Muborak,UZ,39.2553,65.1528,86.02,17,0,15.1,clear sky
325,Elizabeth City,US,36.2946,-76.2511,84.02,73,90,4.61,overcast clouds
326,Deputatskiy,RU,69.3,139.9,55.96,67,77,2.48,broken clouds
327,Moron,AR,-34.6534,-58.6198,49.96,89,100,11.99,moderate rain
328,Kieta,PG,-6.2167,155.6333,77.04,82,48,2.66,scattered clouds
329,Dharchula,IN,29.85,80.5333,73.11,96,100,0.78,overcast clouds
330,Zlitan,LY,32.4674,14.5687,81.68,67,0,12.62,clear sky
331,Brainerd,US,46.358,-94.2008,75.22,73,90,6.91,overcast clouds
332,Tarko-Sale,RU,64.9225,77.785,60.82,72,1,9.84,clear sky
333,Taltal,CL,-25.4,-70.4833,59.09,64,81,6.62,broken clouds
334,Trofors,NO,65.5333,13.4063,63.75,92,99,4.56,overcast clouds
335,Wuan,CN,31.6836,112.0044,73.87,95,100,7.27,light rain
336,Paita,PE,-5.0892,-81.1144,75.76,68,6,19.13,clear sky
337,Manggar,ID,-2.8833,108.2667,81.18,82,100,8.59,overcast clouds
338,Sturgeon Bay,US,44.8342,-87.377,83.21,94,75,13.8,broken clouds
339,Athabasca,CA,54.7169,-113.2854,62.29,65,98,10.94,overcast clouds
340,Bilibino,RU,68.0546,166.4372,50.52,43,64,2.13,broken clouds
341,Lumeje,AO,-11.55,20.7833,66.88,19,8,5.88,clear sky
342,Kahului,US,20.8947,-156.47,82.98,62,20,13.8,few clouds
343,Flinders,AU,-34.5833,150.8552,49.17,83,100,1.01,overcast clouds
344,Chapais,CA,49.7834,-74.8492,71.38,26,89,7.23,overcast clouds
345,Goderich,CA,43.7501,-81.7165,77.92,83,100,6.91,overcast clouds
